Turma,disciplina,Carga Horária,Departamento,ano,semestre,modalidade,Cursos - Ano/Serie - Prioridade,Cursos - Prioridade - Vagas,Docentes,dia,hora,Horários,status
MAT008515-MATEMÁT.,Cálculo Diferencial e Integral I,90.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Renata Zotin Gomes de Oliveira Thais Fernanda Mendes Monis,seg,8-10,Segunda: 08:00-10:00 Quarta: 08:00-10:00 Sexta: 08:00-10:00,
MAT008515-MATEMÁT.,Cálculo Diferencial e Integral I,90.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Renata Zotin Gomes de Oliveira Thais Fernanda Mendes Monis,qua,8-10,Segunda: 08:00-10:00 Quarta: 08:00-10:00 Sexta: 08:00-10:00,
MAT008515-MATEMÁT.,Cálculo Diferencial e Integral I,90.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Renata Zotin Gomes de Oliveira Thais Fernanda Mendes Monis,sex,8-10,Segunda: 08:00-10:00 Quarta: 08:00-10:00 Sexta: 08:00-10:00,
#MAT008915-MATEMÁT.,Funções Elementares,60.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Ana Paula dos Santos Malheiros,ter;qui,10-12;10-12,Terça: 10:00-12:00  Quinta: 10:00-12:00,
MAT008915-MATEMÁT.,Funções Elementares,60.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Ana Paula dos Santos Malheiros,qui,10-12,,old
MAT008915-MATEMÁT.,Funções Elementares,60.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Ana Paula dos Santos Malheiros,ter,10-12,,
MAT008915-MATEMÁT.,Funções Elementares,60.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Ana Paula dos Santos Malheiros,qui,8-10,,new
MAT008715-MATEMÁT.,Geometria Analítica Plana,60.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Lucas Carato Mazzi,seg,10-12,Terça: 08:00-10:00  Segunda: 10:00-12:00,
MAT008715-MATEMÁT.,Geometria Analítica Plana,60.0,DM,1,1,C,1421C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1415CO - / 1423C - / ,Lucas Carato Mazzi,ter,8-10,Terça: 08:00-10:00  Segunda: 10:00-12:00,
MAT009015-MATEMÁT.,Matemática Elementar,60.0,DM,1,1,C,1421C - Equivalente 1419C - Equivalente 1415CO - Equivalente 1423C - 1/1 - Obrigatória - Integral ,1421C - / 1419C - / 1415CO - / 1423C - / ,Rúbia Barcelos Amaral Schio,qua,10-12,Sexta: 10:00-12:00  Quarta: 10:00-12:00,
